series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_storage,my_storage_value,my_status,my_comments,my_times_watched,my_rewatch_value,my_priority,my_tags,my_rewatching,my_rewatching_ep,my_discuss,my_sns,update_on_import
41380,100-man no Inochi no Ue ni Ore wa Tatteiru,TV,12,0,12,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
38101,5-toubun no Hanayome,TV,12,0,12,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
39783,5-toubun no Hanayome ∬,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
49520,Aharen-san wa Hakarenai,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
34881,Aho Girl,TV,12,0,12,2019-12-23,2019-12-23,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
30123,Akagami no Shirayuki-hime,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
48553,Akebi-chan no Sailor-fuku,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
41433,Akudama Drive,TV,12,0,12,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
49979,Akuyaku Reijou nanode Last Boss wo Kattemimashita,TV,0,0,2,0000-00-00,0000-00-00,,0,,0.00,Watching,,0,,LOW,,0,0,1,default,0
22147,Amagi Brilliant Park,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
6547,Angel Beats!,TV,13,0,13,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
11111,Another,TV,12,0,12,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
24833,Ansatsu Kyoushitsu,TV,22,0,22,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
30654,Ansatsu Kyoushitsu 2nd Season,TV,25,0,25,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
9919,Ao no Exorcist,TV,25,0,25,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
11737,Ao no Exorcist Movie,Movie,1,0,1,0000-00-00,0000-00-00,,5,,0.00,Completed,,0,,LOW,,0,0,1,default,0
36882,Arifureta Shokugyou de Sekai Saikyou,TV,13,0,6,0000-00-00,0000-00-00,,0,,0.00,Dropped,,0,,LOW,,0,0,1,default,0
14669,Aura: Maryuuin Kouga Saigo no Tatakai,Movie,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
5081,Bakemonogatari,TV,15,0,15,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40752,Bishounen Tanteidan,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
11633,Blood Lad,TV,10,0,10,0000-00-00,0000-00-00,,4,,0.00,Completed,,0,,LOW,,0,0,1,default,0
49596,Blue Lock,TV,24,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
40060,BNA,TV,12,0,12,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
47917,Bocchi the Rock!,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
31043,Boku dake ga Inai Machi,TV,12,0,12,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
31964,Boku no Hero Academia,TV,13,0,13,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
33486,Boku no Hero Academia 2nd Season,TV,25,0,25,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
36456,Boku no Hero Academia 3rd Season,TV,25,0,25,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
38408,Boku no Hero Academia 4th Season,TV,25,0,25,2020-01-20,2020-04-04,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
41587,Boku no Hero Academia 5th Season,TV,25,0,15,0000-00-00,0000-00-00,,0,,0.00,On-Hold,,0,,LOW,,0,0,1,default,0
10719,Boku wa Tomodachi ga Sukunai,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
14345,Btooom!,TV,12,0,12,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
50549,Bubble,ONA,1,0,1,0000-00-00,2022-05-25,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
33475,Busou Shoujo Machiavellianism,TV,12,0,12,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40256,Cannon Busters,ONA,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
232,Cardcaptor Sakura,TV,70,0,5,0000-00-00,0000-00-00,,0,,0.00,Watching,,0,,LOW,,0,0,1,default,0
28999,Charlotte,TV,13,0,13,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40960,Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
39523,Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!,TV,12,0,12,0000-00-00,2020-01-06,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
14741,Chuunibyou demo Koi ga Shitai!,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
1575,Code Geass: Hangyaku no Lelouch,TV,25,0,25,0000-00-00,0000-00-00,,4,,0.00,Completed,,0,,LOW,,0,0,1,default,0
35756,Comic Girls,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
38940,Cop Craft,TV,12,0,3,0000-00-00,0000-00-00,,0,,0.00,Dropped,,0,,LOW,,0,0,1,default,0
16592,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
11843,Danshi Koukousei no Nichijou,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
35849,Darling in the FranXX,TV,24,0,7,0000-00-00,0000-00-00,,0,,0.00,Dropped,,0,,LOW,,0,0,1,default,0
38656,Darwin's Game,TV,11,0,11,2020-03-24,2020-03-25,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
15583,Date A Live,TV,12,0,12,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
19163,Date A Live II,TV,10,0,10,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
1535,Death Note,TV,37,0,37,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
28223,Death Parade,TV,12,0,12,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
17513,Diabolik Lovers,TV,12,0,12,0000-00-00,0000-00-00,,2,,0.00,Completed,,0,,LOW,,0,0,1,default,0
31163,Dimension W,TV,12,0,12,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37520,Dororo,TV,24,0,10,0000-00-00,0000-00-00,,0,,0.00,Watching,,0,,LOW,,0,0,1,default,0
38691,Dr. Stone,TV,24,0,24,0000-00-00,2019-12-13,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
50612,Dr. Stone: Ryuusui,Special,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
40852,Dr. Stone: Stone Wars,TV,11,0,11,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
28121,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,TV,13,0,13,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37347,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
